parameter,value,unit,dh_dp,dh_dp_unit,dh_for_plus_10pct_m,elasticity
rope_length,1000.0,m,0.3784667703039729,m/m,37.84667703039729,0.9995639272042898
winch.throttle,0.5686140569435587,-,396.59218255155906,m,22.550788987274245,0.5955861113928413
glider.mass,470.0,kg,-0.4636850597373305,m/kg,-21.793197807654533,-0.5755774640257872
env.g,9.81,m/s^2,-21.928397739950448,m/(m/s^2),-21.51175818289139,-0.568144396748224
pilot.V_target,29.166666666666664,m/s,-4.513831218860434,m/(m/s),-13.1653410550096,-0.347708201630486
winch.P_max,200000.0,W,0.0006043012663509216,m/W,12.086025327018431,0.3192025268285023
winch.F_max,12000.0,N,0.008720636383546499,m/N,10.464763660255798,0.2763835845643387
pilot.theta_climb,40.0,deg,1.9033528965136337,m/deg,7.613411586054535,0.20107687600333102
glider.S,17.95,m^2,2.493324403440757,m/m^2,4.475517304176159,0.1182023364756712
pilot.release_angle,72.0,deg,0.5148524472360534,m/deg,3.7069376200995845,0.09790347307035871
pilot.top_beta1,70.0,deg,0.4302885478755977,m/deg,3.012019835129184,0.07955008501276975
pilot.top_beta0,55.0,deg,0.4410956457970229,m/deg,2.4260260518836256,0.06407347535354438
rope.diameter,0.005,m,-4303.629496041003,m/m,-2.151814748020502,-0.05683131436928964
rope.CDn,1.2,-,-17.49895818798475,m,-2.09987498255817,-0.055459539618711154
winch.b_fric,20.0,N s/m,-1.031121953890409,m/(N s/m),-2.062243907780818,-0.05446566993606617
env.rho,1.225,kg/m^3,15.497590039756481,m/(kg/m^3),1.8984547798701692,0.05013985544523938
glider.CLa,5.995048822057491,1/rad,2.8795254986811667,m/(1/rad),1.7262895948953039,0.045592821942585716
glider.k_ind,0.02325936273966636,-,-677.9973179873089,m,-1.5769785555587736,-0.04164938646648549
glider.CL0,0.35,-,39.10481241344127,m,1.3686684344704445,0.03614773350645901
glider.contact_z[wheel],-0.8,m,-15.081533461675454,m/m,1.2065226769340365,0.03186532186824747
winch.fade_beta0,50.0,deg,0.2384396385864813,m/deg,1.1921981929324064,0.031486999684972455
glider.CLmax,1.35,-,6.6730680258854695,m,0.9008641834945385,0.023792613032004258
pilot.h_rot1,30.0,m,-0.2969028674873281,m/m,-0.8907086024619842,-0.02352439523175225
glider.CD0,0.009297889121000434,-,-748.6255639371515,m,-0.6960637486634056,-0.01838365396358893
winch.fade_beta1,70.0,deg,-0.09386503964683074,m/deg,-0.6570552775278151,-0.017353406035317473
glider.contact_z[tail],-0.4,m,15.47756595767594,m/m,-0.6191026383070377,-0.01635104355374957
glider.contact_x[tail],-5.0,m,1.1973550706321432,m/m,-0.5986775353160716,-0.01581159867348163
rope.end_CdA,0.1,m^2,-42.52477762854866,m/m^2,-0.4252477762854867,-0.011231166661142145
rope.end_mass,8.0,kg,-0.47919509161274115,m/kg,-0.38335607329019294,-0.010124770051219957
glider.chord,1.0558823529411765,m,-3.6137412443762957,m/m,-0.38156856080326185,-0.01007756027901384
glider.Cmde,-1.0,1/rad,3.619165417172376,m/(1/rad),-0.36191654171723764,-0.009558533222573905
pilot.theta_liftoff,3.0000000000000004,deg,1.085805606974635,m/deg,0.3257416820923905,0.008603123459026259
glider.hook_z,-0.45,m,-6.988865236680036,m/m,0.31449893565060166,0.008306192667007432
winch.t_ramp,3.0,s,-1.0004567523088,m/s,-0.30013702569264,-0.007926882031407786
pilot.K_V,0.04363323129985824,rad s/m,-68.48923008021988,m/(rad s/m),-0.29884064176394426,-0.007892643395083363
rope.mu,0.016,kg/m,-182.49313480638122,m/(kg/m),-0.29198901569020996,-0.007711685942451615
pilot.de_max,25.0,deg,-0.10736440905244178,m/deg,-0.26841102263110445,-0.007088970470791419
glider.Cm0,0.04233846903420443,-,34.43598705702206,m,0.1457966971675993,0.003850618617777506
rope.EA,600000.0,N,2.1945411897193213e-06,m/N,0.13167247138315927,0.0034775854296200423
pilot.h_rot0,2.0,m,-0.5938615288301957,m/m,-0.11877230576603914,-0.0031368807438301154
winch.fade_floor,0.4,-,-2.8121084324868795,m,-0.1124843372994752,-0.0029708099828613965
pilot.Kp,1.2,-,-0.8672807617912133,m,-0.10407369141494559,-0.002748677449959954
pilot.Kd,0.6,s,-1.667402953720855,m/s,-0.10004417722325129,-0.0026422544467742215
pilot.theta_top,5.0,deg,0.1892606553342849,m/deg,0.09463032766714245,0.0024992699327242556
glider.Cma,-0.8992573233086236,1/rad,0.9683661667115085,m/(1/rad),-0.08708103670596237,-0.0022998865386496766
slack,0.002,-,370.8873037290083,m,0.07417746074580166,0.0019590917827096016
pilot.Ki,0.8,1/s,0.9060268459776131,m/(1/s),0.07248214767820906,0.001914317078015644
winch.M_eff,250.0,kg,-0.002139850675840926,m/kg,-0.05349626689602315,-0.0014128833183005716
rope.Cf,0.01,-,-51.9397654623262,m,-0.051939765462326204,-0.0013717747505783474
winch.height,1.0,m,0.44772827471054655,m/m,0.044772827471054655,0.001182489633715082
rope.ground_mu,0.4,-,-1.1129257012325697,m,-0.0445170280493028,-0.0011757337466823177
glider.Cmq,-15.342618384401113,-,0.02770526036745966,m,-0.042507123705840616,-0.001122650410535199
glider.CLde,0.23464052287581702,1/rad,-1.6250476007518138,m/(1/rad),-0.03813020187384975,-0.0010070520669359154
glider.contact_mu[tail],0.3,-,-1.152727362031018,m,-0.03458182086093054,-0.0009133362128956266
glider.contact_x[wheel],0.2,m,-1.3007196953381999,m/m,-0.026014393906764,-0.0006870629544675617
pilot.tau,0.25,s,0.8151448052039129,m/s,0.02037862013009782,0.0005382172271527202
glider.contact_mu[wheel],0.05,-,-3.0147768666582295,m,-0.01507388433329115,-0.000398114503165129
glider.hook_x,0.35,m,0.23110671641919045,m/m,0.008088735074671664,0.00021363058613732729
glider.CLq,3.6,-,0.01846268851117435,m,0.006646567864022767,0.0001755416855027043
rope.zeta,0.2,-,-0.21650312714787426,m,-0.004330062542957486,-0.00011436074868614017
glider.I_yy,856.5750000000002,kg m^2,3.496435757770142e-05,m/(kg m^2),0.0029949594592119607,7.909950552496676e-05
glider.contact_k[wheel],115267.5,N/m,1.4223172621505344e-07,m/(N/m),0.0016394695501493672,4.329982843045783e-05
glider.contact_k[tail],40000.0,N/m,-2.742606551149842e-07,m/(N/m),-0.0010970426204599368,-2.8973857576365103e-05
glider.contact_c[wheel],9400.0,N s/m,-3.372109871281818e-07,m/(N s/m),-0.00031697832790049087,-8.371675590445827e-06
winch.t_start,1.0,s,-0.001602690750540826,m/s,-0.00016026907505408263,-4.232846808236052e-06
glider.contact_c[tail],2000.0,N s/m,7.043483100285111e-07,m/(N s/m),0.00014086966200570222,3.7204912987543872e-06
