parameter,value,unit,dh_dp,dh_dp_unit,dh_for_plus_10pct_m,elasticity
winch.throttle,0.350847,-,283.716,m,9.95408,1.33763
rope_length,500,m,0.173031,m/m,8.65156,1.1626
env.wind_ref,-10,m/s,7.62104,m/(m/s),-7.62104,-1.02412
glider.mass,290,kg,-0.254586,m/kg,-7.383,-0.992131
winch.P_max,200,kW,0.364108,m/kW,7.28216,0.978581
env.g,9.81,m/s^2,-5.94962,m/(m/s^2),-5.83658,-0.784322
pilot.V_target,85,km/h,-0.604843,m/(km/h),-5.14117,-0.690873
winch.b_fric,20,N s/m,-1.42684,m/(N s/m),-2.85368,-0.383479
winch.F_max,12,kN,2.2266,m/kN,2.67192,0.359054
pilot.theta_climb,35,deg,0.635381,m/deg,2.22384,0.29884
glider.S,14.15,m^2,0.938765,m/m^2,1.32835,0.178505
env.wind_exp,0.142857,-,-83.5936,m,-1.19419,-0.160476
pilot.release_angle,72,deg,0.16511,m/deg,1.18879,0.15975
glider.CLa,5.9858,1/rad,1.12498,m/(1/rad),0.67339,0.0904904
glider.CL0,0.35,-,12.5875,m,0.440564,0.0592032
glider.k_ind,0.0235508,-,-178.041,m,-0.4193,-0.0563458
winch.M_eff,250,kg,-0.016442,m/kg,-0.411051,-0.0552372
glider.CD0,0.0145615,-,-269.857,m,-0.392954,-0.0528054
glider.contact_z[wheel],-0.8,m,-4.21463,m/m,0.33717,0.0453091
pilot.h_rot1,30,m,-0.0875906,m/m,-0.262772,-0.0353114
glider.hook_x,0.25,m,-8.79108,m/m,-0.219777,-0.0295337
rope.end_mass,8,kg,-0.2635,m/kg,-0.2108,-0.0283274
glider.contact_z[tail],-0.4,m,5.04229,m/m,-0.201691,-0.0271034
glider.chord,0.943333,m,2.07926,m/m,0.196143,0.0263579
rope.end_CdA,0.1,m^2,-19.5438,m/m^2,-0.195438,-0.026263
rope.mu,0.016,kg/m,-116.987,m/(kg/m),-0.18718,-0.0251533
glider.contact_x[tail],-5,m,0.306909,m/m,-0.153455,-0.0206213
glider.CLmax,1.3,-,1.14896,m,0.149365,0.0200718
pilot.Kd,0.6,s,2.24856,m/s,0.134913,0.0181297
winch.fade_beta0,50,deg,-0.0260396,m/deg,-0.130198,-0.0174961
pilot.theta_liftoff,3,deg,0.419883,m/deg,0.125965,0.0169272
rope.diameter,5,mm,-0.205386,m/mm,-0.102693,-0.0137999
winch.fade_beta1,70,deg,-0.0140758,m/deg,-0.0985303,-0.0132405
glider.Cma,-0.89787,1/rad,1.03793,m/(1/rad),-0.0931925,-0.0125232
rope.CDn,1.2,-,-0.731474,m,-0.0877768,-0.0117955
glider.Cmq,-17.1731,-,-0.0496515,m,0.0852672,0.0114582
glider.Cmde,-1,1/rad,-0.651881,m/(1/rad),0.0651881,0.00876001
glider.hook_z,-0.45,m,-1.44207,m/m,0.0648931,0.00872037
winch.t_ramp,3,s,-0.213675,m/s,-0.0641024,-0.00861412
rope.EA,600,kN,0.00100831,m/kN,0.0604988,0.00812986
glider.Cm0,0.0654485,-,8.96424,m,0.0586696,0.00788405
pilot.top_beta0,55,deg,0.0103151,m/deg,0.0567328,0.00762379
pilot.Kp,1.2,-,-0.41378,m,-0.0496536,-0.00667247
glider.contact_mu[tail],0.3,-,-1.51617,m,-0.0454852,-0.00611232
winch.t_start,1,s,-0.411279,m/s,-0.0411279,-0.00552679
pilot.top_beta1,70,deg,0.00558726,m/deg,0.0391108,0.00525573
pilot.h_rot0,2,m,-0.19463,m/m,-0.038926,-0.00523089
rope.ground_mu,0.4,-,-0.90224,m,-0.0360896,-0.00484974
