parameter,value,unit,dh_dp,dh_dp_unit,dh_for_plus_10pct_m,elasticity
pilot.release_angle,72,deg,22.5715,m/deg,162.515,0.775609
glider.S,10.5,m^2,144.896,m/m^2,152.14,0.726096
glider.CLmax,1.4,-,915.463,m,128.165,0.611672
rope.diameter,5,mm,-238.504,m/mm,-119.252,-0.569136
rope.CDn,1.2,-,-990.431,m,-118.852,-0.567225
env.g,9.81,m/s^2,-78.6574,m/(m/s^2),-77.1629,-0.368263
rope_length,5000,m,0.147514,m/m,73.7572,0.352009
env.wind_ref,10,m/s,66.6672,m/(m/s),66.6672,0.318172
glider.mass,360,kg,-1.69585,m/kg,-61.0505,-0.291366
env.wind_exp,0.142857,-,3781.85,m,54.0264,0.257843
winch.throttle,0.435534,-,1071.33,m,46.6601,0.222687
winch.F_max,12,kN,34.1825,m/kN,41.019,0.195765
rope.mu,0.016,kg/m,-9551.77,m/(kg/m),-15.2828,-0.0729379
glider.Cmde,-1,1/rad,-139.624,m/(1/rad),13.9624,0.066636
pilot.de_max,25,deg,5.31501,m/deg,13.2875,0.0634152
glider.CLa,6.18199,1/rad,19.1851,m/(1/rad),11.8602,0.0566032
pilot.theta_climb,40,deg,2.78838,m/deg,11.1535,0.0532307
glider.chord,0.7,m,140.881,m/m,9.86166,0.0470652
glider.hook_x,0.25,m,-389.445,m/m,-9.73613,-0.0464661
pilot.V_target,105,km/h,-0.925013,m/(km/h),-9.71264,-0.046354
glider.Cma,-0.927298,1/rad,64.0067,m/(1/rad),-5.93533,-0.0283266
winch.P_max,200,kW,0.282055,m/kW,5.64109,0.0269223
glider.CL0,0.35,-,114.965,m,4.02376,0.0192036
glider.Cm0,0.054791,-,339.171,m,1.85835,0.00886906
rope.end_mass,8,kg,-2.0042,m/kg,-1.60336,-0.00765212
winch.b_fric,20,N s/m,-0.586421,m/(N s/m),-1.17284,-0.00559744
glider.contact_z[wheel],-0.8,m,-12.2389,m/m,0.979115,0.00467287
pilot.K_V,0.0436332,rad s/m,217.728,m/(rad s/m),0.950016,0.00453399
glider.contact_x[tail],-5,m,1.22668,m/m,-0.61334,-0.00292719
glider.CLde,0.155556,1/rad,-37.5391,m/(1/rad),-0.583942,-0.00278689
glider.contact_z[tail],-0.4,m,12.7177,m/m,-0.50871,-0.00242784
pilot.h_rot1,30,m,-0.140883,m/m,-0.42265,-0.00201711
rope.Cf,0.01,-,-400.468,m,-0.400468,-0.00191125
rope.end_CdA,0.1,m^2,-19.4295,m/m^2,-0.194295,-0.000927282
pilot.Ki,0.8,1/s,1.83181,m/(1/s),0.146545,0.000699392
rope.EA,600,kN,-0.00206825,m/kN,-0.124095,-0.000592249
winch.M_eff,250,kg,-0.00476224,m/kg,-0.119056,-0.0005682
pilot.theta_liftoff,3,deg,0.348252,m/deg,0.104476,0.000498614
winch.height,1,m,0.807451,m/m,0.0807451,0.000385359
glider.k_ind,0.0174758,-,-37.2738,m,-0.0651392,-0.000310879
pilot.Kd,0.6,s,-1.07639,m/s,-0.0645833,-0.000308226
glider.hook_z,-0.45,m,1.23798,m/m,-0.0557089,-0.000265873
slack,0.002,-,232.508,m,0.0465016,0.000221931
pilot.h_rot0,2,m,-0.202722,m/m,-0.0405444,-0.0001935
winch.t_ramp,3,s,-0.132485,m/s,-0.0397454,-0.000189686
glider.contact_x[wheel],0.2,m,-0.916018,m/m,-0.0183204,-8.74347e-05
glider.Cmq,-23.1429,-,0.00620238,m,-0.0143541,-6.85054e-05
glider.CD0,0.00894092,-,-12.8342,m,-0.0114749,-5.47646e-05
pilot.tau,0.25,s,0.413535,m/s,0.0103384,4.93403e-05
pilot.Kp,1.2,-,0.0745412,m,0.00894494,4.26901e-05
rope.ground_mu,0.4,-,-0.186557,m,-0.00746228,-3.5614e-05
glider.I_yy,476.1,kg m^2,0.000127523,m/(kg m^2),0.00607137,2.89759e-05
glider.contact_k[tail],40000,N/m,-1.46914e-06,m/(N/m),-0.00587654,-2.8046e-05
glider.contact_mu[wheel],0.05,-,1.00528,m,0.00502638,2.39886e-05
glider.CLq,3.6,-,0.0138188,m,0.00497476,2.37423e-05
glider.contact_mu[tail],0.3,-,-0.14758,m,-0.00442739,-2.11299e-05
glider.contact_c[wheel],7200,N s/m,-3.1382e-06,m/(N s/m),-0.0022595,-1.07836e-05
glider.contact_c[tail],2000,N s/m,2.14202e-06,m/(N s/m),0.000428405,2.04458e-06
rope.zeta,0.2,-,-0.0140024,m,-0.000280047,-1.33654e-06
glider.contact_k[wheel],88290,N/m,2.24856e-08,m/(N/m),0.000198526,9.47472e-07
rope.ground_sink,0.02,m,-0.0317317,m/m,-6.34633e-05,-3.02881e-07
winch.t_start,1,s,0.000453683,m/s,4.53683e-05,2.16522e-07
glider.CLmin,-0.6,-,3.01027e-08,m,-1.80616e-09,-8.61997e-12
env.isa_dT,0,K,-1.41067,m/K,-0,-0
env.field_elevation,0,m,-0.0390236,m/m,-0,-0
glider.contact_x[nose],1.8,m,0,m/m,0,0
glider.contact_z[nose],-0.55,m,0,m/m,-0,-0
glider.contact_k[nose],40000,N/m,0,m/(N/m),0,0
glider.contact_c[nose],2000,N s/m,0,m/(N s/m),0,0
glider.contact_mu[nose],0.4,-,0,m,0,0
glider.V_W,130,km/h,0,m/(km/h),0,0
glider.weak_link,6,kN,0,m/kN,0,0
rope.breaking_load,27,kN,0,m/kN,0,0
winch.fade_beta0,50,deg,0,m/deg,0,0
winch.fade_beta1,70,deg,0,m/deg,0,0
